name,symbol,description,sector
BROADCOM INC,AVGO,"Broadcom Inc. is a global technology company, which designs, develops, and supplies semiconductors and infrastructure software solutions. It operates through the Semiconductor Solutions and Infrastructure Software segments. The Semiconductor Solutions segment refers to product lines and intellectual property licensing. The Infrastructure Software segment relates to mainframe, distributed and cyber security solutions, and the FC SAN business. The company was founded in 1961 and is headquartered in Palo Alto, CA.",Information Technology
ALTRIA GROUP INC,MO,"Altria Group, Inc. is a holding company, which engages in the manufacture and sale of cigarettes in the United States. It operates through the following segments: Smokeable Products, Oral Tobacco Products, and All Other. The Smokeable Products segment consists of cigarettes manufactured and sold by PM USA, and machine-made large cigars and pipe tobacco manufactured and sold by Middleton. The Oral Tobacco Products segment includes MST and snus products manufactured and sold by USSTC, and oral nicotine pouches manufactured and sold by Helix. The All Other segment refers to the financial results of NJOY, Helix ROW, and the IQOS System heated tobacco business. The company was founded in 1919 and is headquartered in Richmond, VA.",Consumer Staples
AMGEN INC,AMGN,"Amgen, Inc. is a biotechnology company, which engages in the discovery, development, manufacture, and marketing of human therapeutics. The company was founded by William K. Bowes, Jr., Franklin Pitcher Johnson, Jr., George B. Rathmann, and Joseph Rubinfeld on April 8, 1980 and is headquartered in Thousand Oaks, CA.",Health Care
COCA COLA CO,KO,"The Coca-Cola Co. engages in the manufacturing and marketing of non-alcoholic beverages. It operates through the following segments: Europe, Middle East and Africa, Latin America, North America, Asia Pacific, Global Ventures, and Bottling Investments. The company was founded by Asa Griggs Candler on May 8, 1886 and is headquartered in Atlanta, GA.",Consumer Staples
CVS HEALTH CORP,CVS,"CVS Health Corp. is a health solutions company, which engages in the provision of healthcare services. It operates through the following segments: Health Care Benefits, Health Services, Pharmacy and Consumer Wellness, and Corporate and Other. The Health Care Benefits segment operates as a health care benefits provider. The Health Services segment offers a full range of PBM solutions, delivers health care services in its medical clinics, virtually, and in the home. The Pharmacy & Consumer Wellness segment dispenses prescriptions in its retail pharmacies and through its infusion operations. The Corporate and Other Segment is involved in management and administrative expenses. The company was founded by Stanley P. Goldstein and Ralph Hoagland in 1963 and is headquartered in Woonsocket, RI.",Health Care
GENERAL MILLS INC,GIS,"General Mills, Inc. engages in the manufacture and marketing of branded consumer foods sold through retail stores. Its product categories include snacks, ready-to-eat cereal, convenient meals, pet food, refrigerated and frozen dough, baking mixes and ingredients, yogurt, and ice cream. The firm operates through the following segments: North America Retail, International, Pet, and North America Foodservice. The North America Retail segment includes grocery stores, mass merchandisers, membership stores, natural food chains, drug, dollar and discount chains, convenience stores, and e-commerce grocery providers. The International segment refers to the retail and foodservice businesses outside of the US and Canada. The Pet segment includes pet food products sold in national pet superstore chains, e-commerce retailers, grocery stores, regional pet store chains, mass merchandisers, and veterinary clinics and hospitals. The North America Foodservice segment offers ready-to-eat cereals, snacks, refrigerated yogurt, frozen meals, unbaked and fully baked frozen dough products, baking mixes, and bakery flour. The company was founded by Cadwallader C. Washburn on June 20, 1928 and is headquartered in Minneapolis, MN.",Consumer Staples
PAYPAL HOLDINGS INC,PYPL,"PayPal Holdings, Inc. engages in the development of technology platforms that enable digital payments and simplifies commerce experiences on behalf of merchants and consumers worldwide. Its solutions include PayPal, PayPal Credit, Braintree, Venmo, Xoom, and Paydiant products. The firm also enables consumers to exchange funds with merchants using funding sources, which include bank account, PayPal account balance, PayPal Credit account, credit, and debit card or other stored value products. It operates through United States and Other Countries geographical segments. The company was founded in December 1998 and is headquartered in San Jose, CA.",Financials
ADOBE INC,ADBE,"Adobe, Inc. is a global technology company, which engages in the provision of digital marketing and media solutions. It operates through the following segments: Digital Media, Digital Experience, and Publishing and Advertising. The Digital Media segment offers products and services that enable individuals, teams, businesses, and enterprises to create, publish, and promote content anywhere and accelerate productivity by transforming view, share, engage with and collaborate on documents and creative content. The Digital Experience segment focuses on integrated platform and set of products, services, and solutions that enable businesses to create, manage, execute, measure, monetize, and optimize customer experiences that span from analytics to commerce. The Publishing and Advertising segment includes legacy products and services that address diverse market opportunities, including eLearning solutions, technical document publishing, web conferencing, document and forms platform, web app development, high-end printing, and Adobe Advertising offerings. The company was founded by Charles M. Geschke and John E. Warnock in December 1982 and is headquartered in San Jose, CA.",Information Technology
NIKE INC,NKE,"NIKE, Inc. engages in the design, development, marketing, and sale of athletic footwear, apparel, accessories, equipment, and services. It operates through the following segments: North America, Europe, Middle East, and Africa (EMEA), Greater China, Asia Pacific and Latin America (APLA), Global Brand Divisions, Converse, and Corporate. The North America, EMEA, Greater China, and APLA segments refer to the design, development, marketing, and selling of athletic footwear, apparel, and equipment. The Global Brand Divisions segment represents its NIKE Brand licensing businesses. The Converse segment designs, markets, licenses, and sells casual sneakers, apparel, and accessories. The Corporate segment is composed of unallocated general and administrative expenses. The company was founded by William Jay Bowerman and Philip Hampson Knight on January 25, 1964 and is headquartered in Beaverton, OR.",Consumer Discretionary
LYONDELLBASELL INDUSTRIES NV,LYB,"LyondellBasell Industries NV engages in the refinery and production of plastic resins and other chemicals. It operates through the following segments: Olefins and Polyolefins-Americas; Olefins and Polyolefins-Europe, Asia, International; Intermediates and Derivatives; Advanced Polymer Solutions; Refining; and Technology. The Olefins and Polyolefins-Americas segment produces and markets olefins and co-products, polyethylene and polypropylene. The Olefins and Polyolefins-Europe, Asia, International segment also offers olefins and polyolefins. The Intermediates and Derivatives segment includes propylene oxide and its derivatives; oxyfuels and related products; and intermediate chemicals. The Advanced Polymer Solutions segment produces and markets compounding and solutions, such as polypropylene compounds, engineered plastics, masterbatches, colors and powders, engineered composites, and advanced polymers. The Refining segment refines heavy, high-sulfur crude oil and other crude oils of varied types and sources. The Technology segment develops chemical and polyolefin process technologies and manufactures and sells polyolefin catalysts. The company was founded in December 2007 and is headquartered in London, the United Kingdom.",Materials
UBER TECHNOLOGIES INC,UBER,"Uber Technologies, Inc. is a technology platform, which engages in the development and operation of technology applications, networks, and product to power movement from point A to point B. The firm offers ride services and merchants delivery service providers for meal preparation, grocery, and other delivery services. It operates through the following segments: Mobility, Delivery, and Freight. The Mobility segment refers to products that connect consumers with Mobility Drivers who provide rides in a variety of vehicles, such as cars, auto rickshaws, motorbikes, minibuses, or taxis. The Delivery segment offers consumers the chance to search for and discover local restaurants, order a meal, and either pick-up at the restaurant or have the meal delivered. The Freight segment focuses on connecting Carriers with Shippers on its platform, and gives Carriers upfront, transparent pricing, and the ability to book a shipment. The company was founded by Oscar Salazar Gaitan, Travis Kalanick, and Garrett Camp in 2009 and is headquartered in San Francisco, CA.",Industrials
VERIZON COMMUNICATIONS INC,VZ,"Verizon Communications, Inc. is a holding company, which engages in the provision of communications, information, and entertainment products and services. It operates through the Consumer and Business segments. The Consumer segment provides consumer-focused wireless and wire line communications services and products. The Business segment offers wireless and wireline communications services and products, including FWA broadband, data, video and conferencing services, corporate networking solutions, security and managed network services, local and long-distance voice services, and network access to deliver various IoT services and products. The company was founded in 1983 and is headquartered in New York, NY.",Communication Services
THERMO FISHER SCIENTIFIC INC,TMO,"Thermo Fisher Scientific, Inc. engages in the provision of analytical instruments, equipment, reagents and consumables, software, and services for research, analysis, discovery, and diagnostics. It operates through the following segments: Life Sciences Solutions, Analytical Instruments, Specialty Diagnostics, and Laboratory Products and Biopharma Services. The Life Sciences Solutions segment provides a portfolio of reagents, instruments, and consumables used in biological and medical research, discovery, and production of new drugs and vaccines. The Analytical Instruments segment offers instruments and the supporting consumables, software, and services that are used for a range of applications. The Specialty Diagnostics segment includes a wide range of diagnostic test kits, reagents, culture media, instruments, and associated products to serve customers in healthcare, clinical, pharmaceutical, industrial, and food safety laboratories. The Laboratory Products and Biopharma Services segment is involved in virtually everything needed for the laboratory. The company was founded on October 11, 1960 and is headquartered in Waltham, MA.",Health Care
ABBVIE INC,ABBV,"AbbVie, Inc. is a research-based biopharmaceutical company, which engages in the development and sale of pharmaceutical products. It focuses on treating conditions such as chronic autoimmune diseases in rheumatology, gastroenterology, and dermatology, oncology, including blood cancers, virology, hepatitis C virus (HCV) and human immunodeficiency virus (HIV), neurological disorders, such as Parkinson's, metabolic, comprising thyroid disease and complications associated with cystic fibrosis, pain associated with endometriosis, and other serious health conditions. The company was founded on October 19, 2011 and is headquartered in North Chicago, IL.",Health Care
ELEVANCE HEALTH INC,ELV,"Elevance Health, Inc. operates as a health company, which engages in improving lives and communities, and making healthcare simpler. It operates through the following segments: Health Benefits, CarelonRx, Carelon Services, and Corporate and Other. The Health Benefits segment offers a comprehensive suite of health plans and services to different customers. The CarelonRx segment markets and offers pharmacy services to affiliated health plan customers, as well as to external customers. The Carelon Services segment integrates physical, behavioral, pharmacy, and social services with the aim of delivering whole health affordably by offering a broad array of healthcare related services. The Corporate & Other segment includes businesses that do not individually meet the quantitative threshold for an operating segment. The company was founded in 1944 and is headquartered in Indianapolis, IN.",Health Care
EVERSOURCE ENERGY,ES,"Eversource Energy engages in the generation, transmission, and distribution of natural gas and electricity. It operates through the following segments: Electric Distribution, Electric Transmission, Natural Gas Distribution, Water Distribution, and Other. The Electric Distribution segment distributes electricity to retail customers. The Electric Transmission segment owns and maintains transmission facilities through CL&P, NSTAR Electric, PSNH, and WMECO. The Natural Gas Distribution segment transmits and distributes natural gas to retail customers. The Water Distribution segment operates five separate regulated water utilities in Connecticut, Massachusetts, and New Hampshire. The company was founded on July 1, 1966, and is headquartered in Springfield, MA.",Utilities
